,file,v,R,maxFR,timingFR,spikes,stimulus,repet,delta,m,S,pval,R2,adjR,mu,NPTS,TPTS,residuals,keeppoints,var,year
466,2024_10_30_0009,10,30,30.04527462828091,-0.06645200435991239,[-0.43462451 -0.25562451 -0.09482451 -0.06992451 -0.05432451 -0.04962451],LOOM,0,0.0625250501002004,-6.438850640926505e-08,3.024763044270205e-09,0.09863285228118837,0.30382257636869137,0.21680039841477783,4.44108821366723e-09,10,12,"0.5064547380048979,0.2704401554811942,0.9283824890457021,1.3497352710047599,1.180045389633301,1.1552949769446486,0.4592301618350917,1.639979461630452,1.0903323346695406,0.1619163235359959",10,3.0247630442702046e-09,2024
467,2024_10_30_0009,40,30,19.203007051655064,-0.08644962124767375,[-0.12212344 -0.08912344 -0.03862344],LOOM,0,0.0625250501002004,-6.438850640926505e-08,3.024763044270205e-09,0.09863285228118837,0.30382257636869137,0.21680039841477783,4.44108821366723e-09,10,12,"0.5064547380048979,0.2704401554811942,0.9283824890457021,1.3497352710047599,1.180045389633301,1.1552949769446486,0.4592301618350917,1.639979461630452,1.0903323346695406,0.1619163235359959",10,3.0247630442702046e-09,2024
468,2024_10_30_0009,5,30,44.540613300721645,-0.07543652018829528,"[-0.14060995 -0.10960995 -0.08970995 -0.08440995 -0.04940995 -0.04470995
 -0.03470995]",LOOM,0,0.0625250501002004,-6.438850640926505e-08,3.024763044270205e-09,0.09863285228118837,0.30382257636869137,0.21680039841477783,4.44108821366723e-09,10,12,"0.5064547380048979,0.2704401554811942,0.9283824890457021,1.3497352710047599,1.180045389633301,1.1552949769446486,0.4592301618350917,1.639979461630452,1.0903323346695406,0.1619163235359959",10,3.0247630442702046e-09,2024
469,2024_10_30_0009,20,30,12.500523115105967,-0.21145647126750788,[-0.24913021 -0.17833021 -0.06113021],LOOM,0,0.0625250501002004,-6.438850640926505e-08,3.024763044270205e-09,0.09863285228118837,0.30382257636869137,0.21680039841477783,4.44108821366723e-09,10,12,"0.5064547380048979,0.2704401554811942,0.9283824890457021,1.3497352710047599,1.180045389633301,1.1552949769446486,0.4592301618350917,1.639979461630452,1.0903323346695406,0.1619163235359959",10,3.0247630442702046e-09,2024
470,2024_10_30_0009,30,30,22.96572739370223,-0.1374499571470057,[-0.18542459 -0.15132459 -0.11792459 -0.06582459],LOOM,0,0.0625250501002004,-6.438850640926505e-08,3.024763044270205e-09,0.09863285228118837,0.30382257636869137,0.21680039841477783,4.44108821366723e-09,10,12,"0.5064547380048979,0.2704401554811942,0.9283824890457021,1.3497352710047599,1.180045389633301,1.1552949769446486,0.4592301618350917,1.639979461630452,1.0903323346695406,0.1619163235359959",10,3.0247630442702046e-09,2024
471,2024_10_30_0009,50,30,22.186746041902435,-0.07644996791780012,[-0.16842719 -0.10052719 -0.08472719 -0.02092719  0.01617281],LOOM,0,0.0625250501002004,-6.438850640926505e-08,3.024763044270205e-09,0.09863285228118837,0.30382257636869137,0.21680039841477783,4.44108821366723e-09,10,12,"0.5064547380048979,0.2704401554811942,0.9283824890457021,1.3497352710047599,1.180045389633301,1.1552949769446486,0.4592301618350917,1.639979461630452,1.0903323346695406,0.1619163235359959",10,3.0247630442702046e-09,2024
472,2024_10_30_0009,10,7,14.38728684793592,-0.02645124364359397,[-0.048717 -0.003207],LOOM,0,0.0625250501002004,-6.438850640926505e-08,3.024763044270205e-09,0.09863285228118837,0.30382257636869137,0.21680039841477783,4.44108821366723e-09,10,12,"0.5064547380048979,0.2704401554811942,0.9283824890457021,1.3497352710047599,1.180045389633301,1.1552949769446486,0.4592301618350917,1.639979461630452,1.0903323346695406,0.1619163235359959",10,3.0247630442702046e-09,2024
473,2024_10_30_0009,40,7,23.5222365271946,-0.037453374468999656,[-0.05022545 -0.03521545 -0.02770545],LOOM,0,0.0625250501002004,-6.438850640926505e-08,3.024763044270205e-09,0.09863285228118837,0.30382257636869137,0.21680039841477783,4.44108821366723e-09,10,12,"0.5064547380048979,0.2704401554811942,0.9283824890457021,1.3497352710047599,1.180045389633301,1.1552949769446486,0.4592301618350917,1.639979461630452,1.0903323346695406,0.1619163235359959",10,3.0247630442702046e-09,2024
474,2024_10_30_0009,5,7,0.0,0.0,[],LOOM,0,0.0625250501002004,-6.438850640926505e-08,3.024763044270205e-09,0.09863285228118837,0.30382257636869137,0.21680039841477783,4.44108821366723e-09,10,12,"0.5064547380048979,0.2704401554811942,0.9283824890457021,1.3497352710047599,1.180045389633301,1.1552949769446486,0.4592301618350917,1.639979461630452,1.0903323346695406,0.1619163235359959",10,3.0247630442702046e-09,2024
475,2024_10_30_0009,20,7,0.0,0.0,[],LOOM,0,0.0625250501002004,-6.438850640926505e-08,3.024763044270205e-09,0.09863285228118837,0.30382257636869137,0.21680039841477783,4.44108821366723e-09,10,12,"0.5064547380048979,0.2704401554811942,0.9283824890457021,1.3497352710047599,1.180045389633301,1.1552949769446486,0.4592301618350917,1.639979461630452,1.0903323346695406,0.1619163235359959",10,3.0247630442702046e-09,2024
476,2024_10_30_0009,30,7,0.0,0.0,[],LOOM,0,0.0625250501002004,-6.438850640926505e-08,3.024763044270205e-09,0.09863285228118837,0.30382257636869137,0.21680039841477783,4.44108821366723e-09,10,12,"0.5064547380048979,0.2704401554811942,0.9283824890457021,1.3497352710047599,1.180045389633301,1.1552949769446486,0.4592301618350917,1.639979461630452,1.0903323346695406,0.1619163235359959",10,3.0247630442702046e-09,2024
